
 C00234              	kegg
 C00024              	kegg
 C00008              	kegg
 C00020              	kegg
 C00002              	kegg
 C00010              	kegg
 C00035              	kegg
 C00064              	kegg
 C00025              	kegg
 C00044              	kegg
 C00004              	kegg
 C00005              	kegg
 C00006              	kegg
 C00003              	kegg
 C00074              	kegg
 C00100              	kegg
 C00022              	kegg
 C00091              	kegg
 C00101              	kegg
 C00028              	kegg
 C00126              	kegg
 C00524              	kegg
 C00030              	kegg
 C03161              	kegg
 C03024              	kegg
10-FORMYL-THF        	synonyms
ACETYL-COA           	synonyms
ADP                  	synonyms
AMP                  	synonyms
ATP                  	synonyms
CO-A                 	synonyms
GDP                  	synonyms
GLN - L-Glutamine    	synonyms
GLT - L-Glutamate    	synonyms
GTP                  	synonyms
NADH                 	synonyms
NADPH                	synonyms
NADP                 	synonyms
NAD                  	synonyms
PHOSPHO-ENOL-PYRUVATE	synonyms
PROPIONYL-COA        	synonyms
PYRUVATE             	synonyms
SUC-COA              	synonyms
THF                  	synonyms
Acceptor             	synonyms
Cytochromes-C-Reduced	synonyms
Cytochromes-C        	synonyms
Donor-H2             	synonyms
Oxidized-flavodoxins 	synonyms
Reduced-flavodoxins  	synonyms
