IS_COFACTOR	SYNOYMS
           	hexadecanoyl-coa                                                                                                                                                                                  	palmitoyl-coa
           	fatty acid
           	carbon dioxide                                                                                                                                                                                    	carbon dioxide (jp18/usp)                                 	carbon dioxide (tn)                                	carbonic acid gas                             	carbonic anhydride                                 	co2(out)
           	butanedioic acid                                                                                                                                                                                  	ethylenesuccinic acid                                     	suc                                                	succ                                          	succinate                                          	succinate(in)                                                            	succinate(out)                                                  	succinic                                    	succinic acid
           	acetyl coenzyme a                                                                                                                                                                                 	acetyl-coa
Y          	a                                                                                                                                                                                                 	acceptor                                                  	hydrogen-acceptor                                  	oxidized donor                                	oxidized unknown electron acceptor                 	oxidized unknown electron carrier                                        	oxidized unknown electron donor
           	adenosine-5'-triphosphate                                                                                                                                                                         	adenosine-triphosphate                                    	adenylpyrophosphate                                	atp                                           	atp(in)                                            	atp(out)
           	5-l-glutamyl-l-cysteinylglycine                                                                                                                                                                   	gamma-l-glutamyl-l-cysteinyl-glycine                      	glutathione                                        	gsh                                           	n-(n-gamma-l-glutamyl-l-cysteinyl)glycine          	reduced glutathione
           	adenosine 5'-pyrophosphate                                                                                                                                                                        	adenosine pyrophosphate                                   	adenosine-5'-diphosphate                           	adenosine-5-diphosphate                       	adenosine-diphosphate                              	adp                                                                      	adp(in)                                                         	adp(out)
           	aminoacetic acid                                                                                                                                                                                  	g                                                         	gly                                                	glycine                                       	glycine(in)                                        	glycine(out)
           	hydrogenphosphate                                                                                                                                                                                 	inorganic phosphate                                       	orthophosphate                                     	phosphate                                     	phosphate(in)                                      	phosphate(out)                                                           	phosphate-inorganic                                             	phosphoric                                  	pi
           	5'-adenosine monophosphate                                                                                                                                                                        	5'-adenylic acid                                          	5'-amp                                             	adenosine 5'-monophosphate                    	adenosine 5'-phosphate                             	adenosine-monophosphate                                                  	adenylate                                                       	adenylic acid                               	amp                                      	amp(in)                                            	amp(out)
           	5'-cytidylic acid                                                                                                                                                                                 	cmp                                                       	cytidine 5'-monophosphate                          	cytidine 5'-phosphate                         	cytidine-monophosphate                             	cytidine-p                                                               	cytidine-phosphate                                              	cytidylate                                  	cytidylic acid
           	malonyl coenzyme a                                                                                                                                                                                	malonyl-coa
Y          	gdp                                                                                                                                                                                               	guanosine-5'-diphosphate                                  	guanosine-diphosphate                              	ppg
Y          	na(+)(in)                                                                                                                                                                                         	na(+)(out)                                                	na+                                                	nai                                           	sodium cation                                      	sodium cation(side 1)                                                    	sodium cation(side 2)                                           	sodium ion                                  	sodium(1+)                               	sodium(i)
           	l-2-amino-4methylthiobutyric acid                                                                                                                                                                 	l-met                                                     	l-methionine                                       	l-methionine(in)                              	l-methionine(out)                                  	m                                                                        	met                                                             	methionine
           	c                                                                                                                                                                                                 	carbocysteine                                             	cys                                                	cysteine                                      	l-2-amino-3-mercaptopropionic acid                 	l-cys                                                                    	l-cysteine                                                      	l-cysteine(in)                              	l-cysteine(out)
           	3',5'-adp                                                                                                                                                                                         	adenosine 3',5'-bisphosphate                              	adenosine-3',5'-bisphosphate                       	pap                                           	phosphoadenosine phosphate
